"","","","","","","","","","",""
"114","ADAM de Vorde","1346","Maître","Flandres  ","Tournai","Paris","
          Maître ès arts
          
            1345
          
          .
        ","oui","non","non"
"128","ADAM de Whitby","1250","Maître ?","  ","","Paris","Magister.","non","non","oui"
"115","ADAM de Winthonia","1318","Étudiant","Angleterre  ","","Paris","","oui","non","non"
"16193","ADAM de la Couperie","1449","Maître","  ","Le Mans","Paris","
          Maître ès arts (Paris)
          
            1449
          
          .
        ","non","non","non"
"117","ADAM de la Halle","1269","Incertain","Artois Arras ","","Paris","","non","oui","oui"
"120","ADAM l'Englois","1368","Suppôt","  ","","Paris","","non","oui","non"
"8699","ADELAIDIS Lipdid","1338","Extérieur","  ","","","","non","non","non"
"17135","ADELINA filia Alani Veteris","1288","Extérieure","  ","","","","non","non","non"
"15577","ADEMARUS Calvelli","1482","Gradué","  ","Angoulême","Paris","
          Bachelier en droit canon (Paris) (le 17 juin ou le 18 juin)
          
            1482
          
          .
        ","non","oui","non"
"16196","ADEMARUS Hardelyon de Cambrai","1453","Gradué","  ","Saintes","Paris","
          Licencié ès arts (Paris)
          
            1452
          
          .
        ","non","non","non"
"131","ADEMARUS Roberti","1372","Extérieur","Limousin  ","","Paris","Docteur in utroque jure.","oui","non","non"
"16441","ADEMARUS de Cormellos","1386","Étudiant","  ","Rouen","Paris","
          Licencié en droit civil (?Orléans)
          
            1394
          
          .
        ","oui","non","non"
"132","ADEMARUS de Croso","1322","Étudiant","  ","","Paris","Magister","oui","oui","non"
"130","ADEMARUS de Saint-Pail","1293","Extérieur","  ","","","","oui","oui","non"
"133","ADEMARUS de Textoria","1317","Extérieur","  ","","Toulouse","","non","oui","non"
"16442","ADEMARUS de Turribus","1386","Étudiant","  ","","Paris","
          Étudiant à
          Paris
          .
        ","oui","non","non"
"17140","ADENOFFLION Polin","1357","Étudiant","Artois  ","Thérouanne","Paris","
          Étudiant à la Faculté des
          Arts
          en
          
            1357
          
          .
        ","non","non","non"
"134","ADENULPHUS de Anania","1269","Maître","Italie Anagni ","Anagni","Paris","
          Maître en théologie (Paris)
          
            1272
          
          .
        ","oui","oui","oui"
"135","ADERANUS Fwolceri Van Meer","1445","Maître","Pays-Bas  ","Utrecht","Paris","
          Maître ès arts (Paris)
          
            1445
          
          ;
        ","oui","non","non"
